title,site,url,salary,salary_min,salary_max,currency,city,responsibility,requirement,date_publication
Разнорабочий на склад,https://hh.ru/,https://spb.hh.ru/vacancy/52385712?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D1%80%D0%B0%D0%B7%D0%BD%D0%BE%D1%80%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,0,34000,0,руб.,,Разгрузочно-погрузочные работы. Упаковка и сортировка.,Активность. Коммуникабельность. Внимательность. Аккуратность.,
Грузчик мобильный,https://hh.ru/,https://spb.hh.ru/vacancy/52243478?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D1%80%D0%B0%D0%B7%D0%BD%D0%BE%D1%80%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,0,55000,0,руб.,,"Разгрузо-погрузочные работы. Разгрузка / погрузка фур, контейнеров.",Не указаны,
Разнорабочий на стройку,https://hh.ru/,https://spb.hh.ru/vacancy/51708760?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D1%80%D0%B0%D0%B7%D0%BD%D0%BE%D1%80%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,0,55000,0,руб.,,Помощь в монтаже металлоконструкций. Подсобные работы. Помощь при производстве бетонных работ.,Добросовестность. Ответственность.,
Разнорабочий на производство,https://hh.ru/,https://spb.hh.ru/vacancy/51991211?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D1%80%D0%B0%D0%B7%D0%BD%D0%BE%D1%80%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,0,40000,45000,руб.,,Работа на производстве. Замена рабочих в отпусках или на больничных.,"Исполнительность, ответственность, обучаемость.",
Младший техник / разнорабочий,https://hh.ru/,https://spb.hh.ru/vacancy/52009408?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D1%80%D0%B0%D0%B7%D0%BD%D0%BE%D1%80%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,0,46000,65000,руб.,,Не указаны,Аккуратность. Ответственность. Исполнительность. Умение пользоваться слесарным и электроинструментом.,
Грузчик-разнорабочий,https://hh.ru/,https://spb.hh.ru/vacancy/52252132?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D1%80%D0%B0%D0%B7%D0%BD%D0%BE%D1%80%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,0,50000,50000,руб.,,"Упаковка нарезанных канатов. Подготовка барабанов к установке на размоточный стеллаж. Работа со штаблером, рохлей, кантователем. Погрузочные работы.",Не указаны,
Подсобный рабочий,https://hh.ru/,https://spb.hh.ru/vacancy/50884070?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D1%80%D0%B0%D0%B7%D0%BD%D0%BE%D1%80%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,0,27000,0,руб.,,Работа на линии розлива безалкогольной продукции.,Опыт работы не требуется.,
Разнорабочий на производство,https://hh.ru/,https://spb.hh.ru/vacancy/52472591?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D1%80%D0%B0%D0%B7%D0%BD%D0%BE%D1%80%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,0,35000,50000,руб.,,Не указаны,"Стремление работать, ответственность. Опыт работы не обязателен, ОБУЧАЕМ с нуля.",
Подсобный рабочий/рабочий на склад/разнорабочий,https://hh.ru/,https://spb.hh.ru/vacancy/51852978?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D1%80%D0%B0%D0%B7%D0%BD%D0%BE%D1%80%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,0,40000,50000,руб.,,"Предпродажная подготовка горшков для цветов (покраска горшков изнутри и снаружи, шпаклевка, обработка специальными средствами). Помощь в комплектации заказов.","Образование среднее/среднее-специальное. Ответственность, внимательность, исполнительность. Опыт работы на складе желателен, но не обязателен. Готовность к интенсивной работе.",
Разнорабочий,https://hh.ru/,https://spb.hh.ru/vacancy/52226684?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D1%80%D0%B0%D0%B7%D0%BD%D0%BE%D1%80%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,0,180000,350000,KZT,,Наличие паспорта вакцинаций (в случаях установленных действующим законодательством) и надлежайших документов ит.д. -Материальная помощь все виды.,Можно без опыта(всему обучим).,
Разнорабочий на склад,https://hh.ru/,https://spb.hh.ru/vacancy/52047721?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D1%80%D0%B0%D0%B7%D0%BD%D0%BE%D1%80%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,0,35000,0,руб.,,"Работа на складе по приему, хранению, учету и выдаче продукции. Организация проведения погрузо-разгрузочных работ на складе. Участие в проведении...",Опыт работы не обязателен. Аккуратность. Внимательность. Ответственность. Соблюдать порядок и чистоту на рабочем месте.,
Разнорабочий,https://hh.ru/,https://spb.hh.ru/vacancy/49563969?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D1%80%D0%B0%D0%B7%D0%BD%D0%BE%D1%80%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,0,50000,0,руб.,,"Выполнение работ связанных с чисткой оборудования. Выполнение указаний ответственных лиц. Отбойным, режущим, ударным и электро- инструментом. Работа внутри аппаратов (колонны...",Без опыта работы (Проводится обучение). Исполнительность. Внимательность. Ответственность.,
Разнорабочий,https://hh.ru/,https://spb.hh.ru/vacancy/52797486?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D1%80%D0%B0%D0%B7%D0%BD%D0%BE%D1%80%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,0,60000,0,руб.,,"Погрузочно-разгрузочные, бетонные работы.",Готовность к физическому труду. Можно без опыта работы.,
Разнорабочий на мебельное производство,https://hh.ru/,https://spb.hh.ru/vacancy/51614262?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D1%80%D0%B0%D0%B7%D0%BD%D0%BE%D1%80%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,0,40000,55000,руб.,,"Работа в цехе металлообработки (подсобный рабочий, станочник, подготовка каркасов к сдаче ОТК, оператор станков, резчики металла). Работа в цехе деревообработки...","Желание работать и развиваться. Аккуратность, внимательность, работоспособность.",
